Data;Ano;MesNum;Mês;MesLongo;AnoMes;Periodo;proprietario;proprietario_filtro;Proprietario_Nome_Valido;subdominio;tema;tipo;produtos_digisac;Produto_Curto;card_financeiro;tipo_servico;motivo_downgrade;Situacao_Down;descricao;qtd_servicos;total_up_RS;total_down_RS;Movimento;criacao_url;Tempo_vida_cli;Faixa_Vida;Produto_Individual;produtos_digisac_original;Categoria;Status_Consideracao;Motivo_Consideracao
10/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Usuário não identificado;Usuário inexistente;False;galeriaprcaruna;Migração para número oficial;Não informado;Migração para número oficial;Migração para número oficial;—;Migração/Outro;Não informado;Outros motivos descritos;Não informado;1;0.0;0.0;Migração;;;Não calculado;Migração para número oficial;Migração para número oficial;Conexão;Não considerado;Sem link no Card Financeiro
11/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Usuário não identificado;Usuário inexistente;False;beecont;Migração para número oficial;Não informado;Migração para número oficial;Migração para número oficial;—;Migração/Outro;Não informado;Outros motivos descritos;Não informado;1;0.0;0.0;Migração;;;Não calculado;Migração para número oficial;Migração para número oficial;Conexão;Não considerado;Sem link no Card Financeiro
11/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Usuário não identificado;Usuário inexistente;False;sullaser1;Downgrade;Não informado;Funil de vendas;Funil de vendas;—;Migração/Outro;Sem informação;Outros motivos descritos;Down Funil de vendas;1;0.0;0.0;Downgrade;;;Não calculado;Funil de vendas;Funil de vendas;Módulos;Não considerado;Sem link no Card Financeiro
11/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Usuário não identificado;Usuário inexistente;False;rodrigobranquinho;Upgrade;Não informado;Servidores;Servidores;—;Migração/Outro;Não informado;Outros motivos descritos;UP Servidor 2/4 - R$ 89,00;1;0.0;0.0;Upgrade;;;Não calculado;Servidores;Servidores;Servidor;Não considerado;Sem link no Card Financeiro
11/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Usuário não identificado;Usuário inexistente;False;demijoias;Upgrade;Não informado;IA Agent;IA Agent;—;Migração/Outro;Não informado;Outros motivos descritos;UPGRADE- Agente Inteligente 1000 créditos 112,90 - Protocolo: 202509111481738;1;0.0;0.0;Upgrade;;;Não calculado;IA Agent;IA Agent;IA;Não considerado;Sem link no Card Financeiro
11/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Usuário não identificado;Usuário inexistente;False;mzhotelaria;Upgrade;Não informado;Funil de vendas;Funil de vendas;—;Migração/Outro;Não informado;Outros motivos descritos;"Upgrade - Funil de vendas - 49,90 - Protocolo; 202509111482236";1;0.0;0.0;Upgrade;;;Não calculado;Funil de vendas;Funil de vendas;Módulos;Não considerado;Sem link no Card Financeiro
11/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Usuário não identificado;Usuário inexistente;False;okuyamaadvogados;Downgrade;Não informado;Funil de vendas;Funil de vendas;—;Migração/Outro;Não viu valor agregado;Redução de custo;Cliente não utiliza o recurso.;1;0.0;0.0;Downgrade;;;Não calculado;Funil de vendas;Funil de vendas;Módulos;Não considerado;Sem link no Card Financeiro
11/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Usuário não identificado;Usuário inexistente;False;recifesaude;Upgrade;Não informado;Funil de vendas;Funil de vendas;—;Migração/Outro;Não informado;Outros motivos descritos;Upgrade - Funil de Vendas 49,00 - Protocolo: 202509111482273;1;0.0;0.0;Upgrade;;;Não calculado;Funil de vendas;Funil de vendas;Módulos;Não considerado;Sem link no Card Financeiro
11/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Leticia Silva;Leticia Silva;True;bluebusinesscoworking;Downgrade;Não informado;IA Copiloto;IA Copiloto;—;Migração/Outro;Falta de Funcionalidade;Cancelamento / encerramento;O cliente relatou que, apesar de ter gostado da funcionalidade, identificou limitações na personalização de comportamentos. Como desenvolveu uma IA própria no Google, mais robusta e assertiva para suas demandas, optou pelo cancelamento.;1;0.0;0.0;Downgrade;;;Não calculado;IA Copiloto;IA Copiloto;IA;Não considerado;Sem link no Card Financeiro
11/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Leticia Silva;Leticia Silva;True;ctemer;Solicitação de Teste;Não informado;Funil de vendas;Funil de vendas;—;Migração/Outro;Não informado;Outros motivos descritos;Liberação de teste referente ao Funil de Vendas até o dia 18/09/2025.;1;0.0;0.0;Teste;;;Não calculado;Funil de vendas;Funil de vendas;Módulos;Não considerado;Sem link no Card Financeiro
11/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Leticia Silva;Leticia Silva;True;lelus;Solicitação de Teste;Não informado;Funil de vendas;Funil de vendas;—;Migração/Outro;Não informado;Outros motivos descritos;Não informado;1;0.0;0.0;Teste;;;Não calculado;Funil de vendas;Funil de vendas;Módulos;Não considerado;Sem link no Card Financeiro
11/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Leticia Silva;Leticia Silva;True;lelus;Upgrade;Não informado;IA Agent;IA Agent;—;Migração/Outro;Não informado;Outros motivos descritos;Contratação referente a mil créditos do Agente IA por R$ 112,90;1;0.0;0.0;Upgrade;;;Não calculado;IA Agent;IA Agent;IA;Não considerado;Sem link no Card Financeiro
11/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Leticia Silva;Leticia Silva;True;sseventos;Downgrade;Não informado;Usuário adicional;Usuário adicional;—;Migração/Outro;Dificuldade financeira;Redução de custo;Down referente a 5 usuários adicionais. Empresa passando por dificuldades financeiras.;1;0.0;0.0;Downgrade;;;Não calculado;Usuário adicional;Usuário adicional;Usuários;Não considerado;Sem link no Card Financeiro
11/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Leticia Silva;Leticia Silva;True;vrfcontabilidade;Downgrade;Não informado;Usuário adicional;Usuário adicional;—;Migração/Outro;Não se adaptou ao produto;Outros motivos descritos;Down referente a 5 usuários adicionais e ao chat interno.;1;0.0;0.0;Downgrade;;;Não calculado;Usuário adicional;"Usuário adicional; Chat interno";Usuários;Não considerado;Sem link no Card Financeiro
11/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Leticia Silva;Leticia Silva;True;vrfcontabilidade;Downgrade;Não informado;Chat interno;Chat interno;—;Migração/Outro;Não se adaptou ao produto;Outros motivos descritos;Down referente a 5 usuários adicionais e ao chat interno.;1;0.0;0.0;Downgrade;;;Não calculado;Chat interno;"Usuário adicional; Chat interno";Módulos;Não considerado;Sem link no Card Financeiro
11/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Luis Siqueira;Luis Siqueira;True;vettorprint;Downgrade;Não informado;Conexão Instagram Direct;Conexão Instagram Direct;—;Migração/Outro;Não se adaptou ao produto;Outros motivos descritos;Cliente não seguirá, pois no momento não fez sentido ao seu negocio;1;0.0;0.0;Downgrade;;;Não calculado;Conexão Instagram Direct;"Conexão Instagram Direct; Conexão Facebook Messenger";Conexão;Não considerado;Sem link no Card Financeiro
