Data;Ano;MesNum;Mês;MesLongo;AnoMes;Periodo;proprietario;proprietario_filtro;Proprietario_Nome_Valido;subdominio;tema;tipo;produtos_digisac;Produto_Curto;card_financeiro;tipo_servico;motivo_downgrade;Situacao_Down;descricao;qtd_servicos;total_up_RS;total_down_RS;Movimento;criacao_url;Tempo_vida_cli;Faixa_Vida
12/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Mariana Nunes;Mariana Nunes;True;riocontrol;Downgrade;Não informado;Integração;Integração;https://app.pipefy.com/open-cards/1213146818;Migração/Outro;Redução de demanda;Redução de custo;Down: Integração RD CRM / Valor: R$ 59,99 / Protocolo: 202509111482595;1;0.0;0.0;Downgrade;;;Não calculado
12/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Sem proprietário;Usuário inexistente;False;fgryngbdgns;Downgrade;Não informado;E-mail adicional;E-mail adicional;https://app.pipefy.com/open-cards/1212922177;Migração/Outro;Custo Benefício;Redução de custo;egsyrhegtgbhsy;1;0.0;0.0;Downgrade;;;Não calculado
12/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Vinicius Simões;Vinicius Simões;True;beflycentervale;Downgrade;Não informado;Funil de vendas;Funil de vendas;https://app.pipefy.com/open-cards/1213132254;Migração/Outro;Falta de Funcionalidade;Processo/uso operacional;Downgrade: - Funil de Vendas - R$ 89,00  Motivo: o cliente explicou que esperava uma ferramenta automatizada quando o lead entrasse no atendimento.;1;0.0;0.0;Downgrade;;;Não calculado
15/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Leticia Silva;Leticia Silva;True;drexameitaquera;Downgrade;Não informado;Conexão adicional de WhatsApp;Conexão adicional de WhatsApp;https://app.pipefy.com/open-cards/1214822559;Migração/Outro;Redução de demanda;Redução de custo;Down referente a 2 conexões de whatsapp. Valor: R$ 178,00;1;0.0;0.0;Downgrade;;;Não calculado
15/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Leticia Silva;Leticia Silva;True;gsoft;Downgrade;Não informado;Combo de IA's;Combo de IA's;https://app.pipefy.com/open-cards/1214394829;Migração/Outro;Falta de Funcionalidade;Outros motivos descritos;DOWN referente ao Combo Start IA, cliente não se adaptou a ferramenta, principalmente referente ao copiloto, pois seu desejo era de que o mesmo fornecesse respostas mais detalhadas e com base em pesquisas externas.;1;0.0;0.0;Downgrade;;;Não calculado
15/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Luis Siqueira;Luis Siqueira;True;cosel1;Downgrade;Não informado;Distribuição automática;Distribuição automática;https://app.pipefy.com/open-cards/1214717587;Migração/Outro;Solução própria;Troca de solução / concorrente;Down;1;0.0;0.0;Downgrade;;;Não calculado
15/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Sem proprietário;Usuário inexistente;False;polomasther;Downgrade;Não informado;Usuário adicional;Usuário adicional;https://app.pipefy.com/open-cards/1214529816;Migração/Outro;Redução de funcionários;Redução de custo;Down Usuários. redução de quadro de funcionários.;1;0.0;0.0;Downgrade;;;Não calculado
16/09/2025;2025;9;Set.;setembro;2025-09;Set./25;80402395;Usuário inexistente;False;utmify;Downgrade;Não informado;IA Copiloto;IA Copiloto;https://app.pipefy.com/open-cards/1215170510;Migração/Outro;Problema sistêmico (cliente);Problema técnico / limitação;Cliente alega que não possui o material necessário para utilização do recurso Copiloto. Pretende recontratar em breve.;1;0.0;0.0;Downgrade;;;Não calculado
16/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Leticia Silva;Leticia Silva;True;cfccamburi;Downgrade;Não informado;Servidores;Servidores;https://app.pipefy.com/open-cards/1215076443;Migração/Outro;Sem informação;Outros motivos descritos;Solicitação de Down referente a servidor 2/4. Cliente não dá retorno.;1;0.0;0.0;Downgrade;;;Não calculado
16/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Leticia Silva;Leticia Silva;True;saceros;Downgrade;Não informado;Usuário adicional;Usuário adicional;https://app.pipefy.com/open-cards/1215522190;Migração/Outro;Redução de funcionários;Redução de custo;Down referente a remoção de 7 usuários adicionais.;1;0.0;0.0;Downgrade;;;Não calculado
16/09/2025;2025;9;Set.;setembro;2025-09;Set./25;Sem proprietário;Usuário inexistente;False;naricosguimaraesadv4;Downgrade;Não informado;Combo Start;Combo Start;https://app.pipefy.com/open-cards/1215400476;Migração/Outro;Custo Benefício;Redução de custo;Downgrade Combo Start = R$ 173,90/mensais;1;0.0;0.0;Downgrade;;;Não calculado
