Data;Ano;MesNum;Mês;MesLongo;AnoMes;Periodo;proprietario;proprietario_filtro;Proprietario_Nome_Valido;subdominio;tema;tipo;produtos_digisac;Produto_Curto;card_financeiro;tipo_servico;motivo_downgrade;Situacao_Down;descricao;qtd_servicos;total_up_RS;total_down_RS;Movimento;criacao_url;Tempo_vida_cli;Faixa_Vida
02/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;80401157;Usuário inexistente;False;thermas;Upgrade;Não informado;Servidores;Servidores;https://app.pipefy.com/open-cards/1275707129;Migração/Outro;Não informado;Outros motivos descritos;Up servidor 16/16 = R$ 410,00/mensal;1;0.0;0.0;Upgrade;;;Não calculado
02/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Guilherme Virgilio Soares;Guilherme Virgilio Soares;True;pandaconectsa;Upgrade;Não informado;Conexão adicional de WhatsApp - WABA;Conexão adicional de WhatsApp - WABA;https://app.pipefy.com/open-cards/1275614842;Migração/Outro;Não informado;Outros motivos descritos;- Upgrade: Conexão adicional WABA - R$89,00;1;0.0;0.0;Upgrade;;;Não calculado
05/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;80401157;Usuário inexistente;False;vedaminasbh;Upgrade;Não informado;Chat interno;Chat interno;https://app.pipefy.com/open-cards/1276437703;Migração/Outro;Não informado;Outros motivos descritos;Upgrade Chat interno = R$ 89,00/mensal;1;0.0;0.0;Upgrade;;;Não calculado
05/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;80401195;Usuário inexistente;False;navarroconsultoria;Upgrade;Não informado;Funil de vendas;Funil de vendas;https://app.pipefy.com/open-cards/1276237872;Migração/Outro;Não informado;Outros motivos descritos;Upgrade da ferramenta de Funil de Vendas - Protocolo: 202512091595841;1;0.0;0.0;Upgrade;;;Não calculado
05/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;83205771;Usuário inexistente;False;tivoliassistencia;Upgrade;Não informado;Conexão adicional de WhatsApp;Conexão adicional de WhatsApp;https://app.pipefy.com/open-cards/1276291040;Migração/Outro;Não informado;Outros motivos descritos;Upgrade - Conexão de Whatsapp - 89,00 - Protocolo: 202601051617983;1;0.0;0.0;Upgrade;;;Não calculado
05/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Guilherme Virgilio Soares;Guilherme Virgilio Soares;True;33doctorportoalegre;Upgrade;Não informado;Primeira ativação de número oficial;Primeira ativação de número oficial;https://app.pipefy.com/open-cards/1276574965;Migração/Outro;Não informado;Outros motivos descritos;- Upgrade: Conexão de WhatsApp Oficial - R$89,00;1;0.0;0.0;Upgrade;;;Não calculado
05/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;advocaciamartins;Upgrade;Não informado;Conexão adicional de WhatsApp;Conexão adicional de WhatsApp;https://app.pipefy.com/open-cards/1276481807;Migração/Outro;Não informado;Outros motivos descritos;Up Conexão Adicional de WhatsApp (R$89,00).;1;0.0;0.0;Upgrade;;;Não calculado
05/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;borelliadv;Upgrade;Não informado;Integração;Integração;https://app.pipefy.com/open-cards/1276405574;Migração/Outro;Não informado;Outros motivos descritos;Up Integração RD CRM (R$59,99).;1;0.0;0.0;Upgrade;;;Não calculado
05/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;noraholding;Upgrade;Não informado;Conexão adicional de WhatsApp - WABA;Conexão adicional de WhatsApp - WABA;https://app.pipefy.com/open-cards/1276484056;Migração/Outro;Não informado;Outros motivos descritos;Up conexão oficial adicional;1;0.0;0.0;Upgrade;;;Não calculado
05/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Leticia Silva;Leticia Silva;True;parcelamentobetodehon;Upgrade;Não informado;Usuário adicional;Usuário adicional;https://app.pipefy.com/open-cards/1276600423;Migração/Outro;Não informado;Outros motivos descritos;UP 1 usuário adicional (R$29,00) na URL parcelamentobetodehon.;1;0.0;0.0;Upgrade;;;Não calculado
05/01/2026;2026;1;Jan.;janeiro;2026-01;Jan./26;Melissa Duarte;Melissa Duarte;True;medicalizando;Upgrade;Não informado;Conexão adicional de WhatsApp;Conexão adicional de WhatsApp;https://app.pipefy.com/open-cards/1276287375;Migração/Outro;Não informado;Redução de custo;Tipo: Upgrade Produto: 1 conexão Adicional Whatsapp Valor: 89,00 URL: medicalizando Protocolo: 202601051617660;1;0.0;0.0;Upgrade;;;Não calculado
